,Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,mean,Total SqKm,Change,Change_Pct
23,Belarus,BLR,Forest area (sq. km),AG.LND.FRST.K2,77800.0,78786.0,78786.0009765625,79278.9990234375,79772.001953125,80265.0,80757.998046875,81251.0009765625,81743.9990234375,82237.001953125,82730.0,83055.99609375,83382.001953125,83707.998046875,84034.00390625,84360.0,84555.99609375,84752.001953125,84947.998046875,85144.00390625,85340.0,85539.00390625,85737.998046875,85937.001953125,86135.99609375,86335.0,86534.00390625,83070.62984664353,202988.0078125,-8734.00390625,-0.1051394930118361
24,Belize,BLZ,Forest area (sq. km),AG.LND.FRST.K2,16160.3002929688,16003.499755859399,15846.800537109399,15690.1000976563,15533.399658203101,15376.600341796899,15219.8999023438,15063.199462890601,14906.500244140601,14749.6997070313,14593.0004882813,14507.5,14421.8994140625,14336.400146484399,14250.799560546899,14165.3002929688,14115.0,14064.6997070313,14014.4995117188,13964.200439453101,13913.900146484399,13863.699951171899,13813.499755859399,13763.399658203101,13713.199462890601,13663.0004882813,13612.8002929688,14567.659233940994,22810.0,2547.5,0.17487366769704593
25,Bermuda,BMU,Forest area (sq. km),AG.LND.FRST.K2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,54.000000953674295,0.0,0.0
26,Bolivia,BOL,Forest area (sq. km),AG.LND.FRST.K2,627950.0,625246.015625,622541.9921875,619838.0078125,617133.984375,614430.0,611726.015625,609021.9921875,606318.0078125,603613.984375,600910.0,598196.015625,595481.9921875,592768.0078125,590053.984375,587340.0,582290.0,577240.0,572190.0,567140.0,562090.0,559200.0,556310.0,553420.0,550530.0,547640.0,544750.0,588717.4074074074,1083300.0,83200.0,0.14132417175567477
27,Brazil,BRA,Forest area (sq. km),AG.LND.FRST.K2,5467050.0,5441618.75,5416188.125,5390756.875,5365326.25,5339895.0,5314463.75,5289033.125,5263601.875,5238170.9375,5212740.0,5183660.0,5154580.0,5125500.0,5096420.0,5067340.0,5050788.125,5034235.9375,5017684.0625,5001131.875,4984580.0,4974740.0,4964900.0,4955060.0,4945220.0,4935380.0,4925540.0,5153911.284722222,8358140.0,541510.0,0.10506777670100806
28,Barbados,BRB,Forest area (sq. km),AG.LND.FRST.K2,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348626,430.0,0.0,0.0
29,Brunei Darussalam,BRN,Forest area (sq. km),AG.LND.FRST.K2,4130.0,4113.99993896484,4097.99987792969,4082.00012207031,4066.00006103516,4050.0,4033.99993896484,4017.99987792969,4002.00012207031,3986.00006103516,3970.0,3953.99993896484,3937.99987792969,3922.00012207031,3906.00006103516,3890.0,3872.00012207031,3853.99993896484,3836.00006103516,3817.99987792969,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3931.1111111111113,5270.0,330.0,0.08394573205200678
30,Bhutan,BTN,Forest area (sq. km),AG.LND.FRST.K2,25067.099609375,25166.398925781297,25265.700683593797,25365.0,25464.299316406297,25563.601074218797,25662.900390625,25762.199707031297,25861.398925781297,25960.700683593797,26060.0,26159.299316406297,26258.601074218797,26357.900390625,26457.199707031297,26556.4990234375,26655.80078125,26755.0,26854.299316406297,26953.601074218797,27052.900390625,27152.199707031297,27251.4990234375,27350.80078125,27450.100097656297,27549.299316406297,27648.5009765625,26357.881492332202,38143.9990234375,-2581.4013671875,-0.09793660267948538
31,Botswana,BWA,Forest area (sq. km),AG.LND.FRST.K2,137180.0,135997.001953125,134814.00390625,133630.99609375,132447.998046875,131265.0,130082.001953125,128899.00390625,127715.99609375,126532.998046875,125350.0,124165.99609375,122982.001953125,121797.998046875,120614.00390625,119430.0,118245.99609375,117062.001953125,115877.998046875,114694.00390625,113510.0,112487.998046875,111465.99609375,110444.00390625,109422.001953125,108400.0,107377.998046875,121921.962890625,566730.0,29802.001953125,0.24443505703611484
32,Central African Republic,CAF,Forest area (sq. km),AG.LND.FRST.K2,225600.0,225444.00390625,225288.0078125,225131.9921875,224975.99609375,224820.0,224664.00390625,224508.0078125,224351.9921875,224195.99609375,224040.0,223884.00390625,223728.0078125,223571.9921875,223415.99609375,223260.0,223104.00390625,222948.0078125,222791.9921875,222635.99609375,222480.0,222324.00390625,222168.0078125,222011.9921875,221855.99609375,221700.0,221544.00390625,223572.00014467593,622980.0,4055.99609375,0.018141789182569014
